feature,adjust,hold,lift,other,place,press,rotate,Mean_Importance
x_18_mean_5,0.0007936326726447707,0.005156465114729395,0.05465771582138098,0.002007081860078227,0.0012986082811872748,0.00040792944813959663,0.008910110343629573,0.010461649077398546
x_7_std_5,0.005114207723025371,0.0065242891647710535,0.0021111247704277887,0.01930352198860547,0.031198781825903243,7.243017180021275e-05,0.007608857774672443,0.010276173345600798
lmk_20_speed,0.0001211384261265605,0.0005759845986250964,0.000446861240223757,0.00047282697976432157,0.0001061691866949432,0.06771650310977359,0.000908868144915594,0.010049764526589124
z_3_std_5,0.0009704144771049879,0.0039927111254314356,0.05348711346957367,0.0012849846244545901,0.008721450296098696,4.694679829734174e-05,0.001244830929801148,0.009964064531537408
z_17_std_5,0.00040056778452434165,0.004001077478409883,0.05366962687556494,0.0035325006883387476,0.00031328099903810483,0.0006738869320245088,0.003541722628373821,0.009447523340896337
x_1_std_5,0.006313952991291035,0.017906464102206383,0.00014485221854825344,0.027137377926222,0.009665199741254524,0.0004305685382693933,0.00423938479181179,0.009405400044229054
x_2_mean_5,0.0012626978173656243,0.003669015147780664,0.05308029547029957,0.0027324055377224506,0.001328084508448503,0.00021062389079895658,0.0019469347195872869,0.009175722441714721
lmk0_5_dist,0.0026124994265425503,0.00099696788946021,0.0023259347479529426,0.007064897171169816,0.0430924039276332,0.0010209232481976,0.004103499060138624,0.00874530363872785
x_6_std_5,0.0009354806491110045,0.026751827886627718,0.002473296674906401,0.0013553372836539463,0.0237180583588562,7.358037620929744e-05,0.00215917988307104,0.008209537301776515
lmk_14_speed,0.00019359708842067283,0.0025954209560964513,6.372765189088046e-06,0.00034293524988527073,0.00020773248330514061,0.052452455175566355,0.0007138362157113296,0.008073192847739186
x_3_std_5,0.013867881586050845,0.0031180618071056983,0.004045156641305242,0.00540263213435428,0.026266222094666957,5.8926074725191324e-05,0.0025377659737849563,0.00789952090171331
y_0_std_5,0.014481785811768141,0.012472727707751931,0.00048617384053038825,0.0008205523723691054,0.0007268642779905363,0.022580657287578198,0.003120468075186792,0.007812747053310727
y_11_std_5,0.037467843195134666,0.0019325977261526977,0.0002071102240238631,0.0012431621989633537,0.00017639296947284208,0.0076129577346911535,0.0022560691421401645,0.007270876170082677
z_0_std_5,0.0006198458304692709,0.0036641344552438434,0.03620173403580319,0.004118646422746136,0.00047821319524362385,0.00031590911381264964,0.004875892187320391,0.007182053605805586
